model,id,title,authors,
book.book,338,Body For Life: 12 Weeks to Mental and Physical Strength,Bill Phillips/Michael DOrso,
book.book,339,Body for Life for Women: A Womans Plan for Physical and Mental Transformation,Pamela Peeke/Cindy Crawford,
book.book,340,Eating for Life: Your Guide to Great Health  Fat Loss and Increased Energy!,Bill Phillips,
book.book,341,The Warren Buffett Way,Robert G. Hagstrom/Bill Miller/Kenneth L. Fisher,
book.book,342,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,
book.book,343,Monkey Business: True Story of the Scopes Trial,Marvin N. Olasky/John R. Perry,
book.book,344,Junie B. Jones and a Little Monkey Business (Junie B. Jones  #2),Barbara Park/Denise Brunkus,
book.book,345,Monkey Business,Sarah Mlynowski,
book.book,346,Liars Poker,Michael   Lewis,
book.book,347,Liars Poker: A Harry Garnish Mystery,Frank McConnell,
book.book,348,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,
book.book,349,Giadas Family Dinners,Giada De Laurentiis/Victoria Pearson,
book.book,350,Everyday Italian: 125 Simple and Delicious Recipes,Giada De Laurentiis,
book.book,351,Everyday Pasta,Giada De Laurentiis/Victoria Pearson,
book.book,352,Tylers Ultimate: Brilliant Simple Food to Make Any Time,Tyler Florence/Petrina Tinslay,
book.book,353,Tyler Florences Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook,Tyler Florence/JoAnn Cianciulli/Bill Bettencourt/Bobby Flay,
book.book,354,Eat This Book: Cooking with Global Fresh Flavors,Tyler Florence/Petrina Tinslay,
book.book,355,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,
book.book,356,Freakonomics: Un economista pol­ticamente incorrecto explora el lado oculto de lo que nos afecta,Steven D. Levitt/Stephen J. Dubner,
book.book,357,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt/Stephen J. Dubner,
book.book,358,The Last Assassin (John Rain  #5),Barry Eisler,
